[4753/7000 3.56%] Fetching | 200 | downloading | scanning | none
[4754/7000 3.61%] Fetching | 200 | downloading | scanning | none
[4755/7000 3.65%] Fetching | 200 | downloading | scanning | none
[4756/7000 3.69%] Fetching | 200 | downloading | scanning | none
[4757/7000 3.73%] Fetching | 200 | downloading | scanning | none
[4758/7000 3.78%] Fetching | 200 | downloading | scanning | none
[4759/7000 3.82%] Fetching | 200 | downloading | scanning | none
[4760/7000 3.86%] Fetching | 200 | downloading | scanning | none
[4761/7000 3.91%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4762/7000 3.95%] Fetching | 200 | downloading | scanning | none
[4763/7000 3.99%] Fetching | 200 | downloading | scanning | none
[4764/7000 4.03%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4765/7000 4.08%] Fetching | 200 | downloading | scanning | none
[4766/7000 4.12%] Fetching | 200 | downloading | scanning | none
[4767/7000 4.16%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4768/7000 4.21%] Fetching | 200 | downloading | scanning | none
[4769/7000 4.25%] Fetching | 200 | downloading | scanning | none
[4770/7000 4.29%] Fetching | 200 | downloading | scanning | none
[4771/7000 4.33%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4772/7000 4.38%] Fetching | 200 | downloading | scanning | none
[4773/7000 4.42%] Fetching | 200 | downloading | scanning | none
[4774/7000 4.46%] Fetching | 200 | downloading | scanning | none
[4775/7000 4.51%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4776/7000 4.55%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4777/7000 4.59%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4778/7000 4.64%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4779/7000 4.68%] Fetching | 200 | downloading | scanning | none
[4780/7000 4.72%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4781/7000 4.76%] Fetching | 200 | downloading | scanning | none
[4782/7000 4.81%] Fetching | 200 | downloading | scanning | none
[4783/7000 4.85%] Fetching | 200 | downloading | scanning | none
[4784/7000 4.89%] Fetching | 200 | downloading | scanning | none
[4785/7000 4.94%] Fetching | 200 | downloading | scanning | none
[4786/7000 4.98%] Fetching | 200 | downloading | scanning | found 2020/2022
[!!!] 4786 FOUND 2020/2022!!!
[4787/7000 5.02%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4788/7000 5.06%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4789/7000 5.11%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4790/7000 5.15%] Fetching | 200 | downloading | scanning | none
[4791/7000 5.19%] Fetching | 200 | downloading | scanning | none
[4792/7000 5.24%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4793/7000 5.28%] Fetching | 200 | downloading | scanning | none
[4794/7000 5.32%] Fetching | 200 | downloading | scanning | none
[4795/7000 5.36%] Fetching | 200 | downloading | scanning | none
[4796/7000 5.41%] Fetching | 200 | downloading | scanning | none
[4797/7000 5.45%] Fetching | 200 | downloading | scanning | none
[4798/7000 5.49%] Fetching | 200 | downloading | scanning | none
[4799/7000 5.54%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4800/7000 5.58%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4801/7000 5.62%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4802/7000 5.67%] Fetching | 200 | downloading | scanning | none
[4803/7000 5.71%] Fetching | 200 | downloading | scanning | none
[4804/7000 5.75%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4805/7000 5.79%] Fetching | 200 | downloading | scanning | none
[4806/7000 5.84%] Fetching | 200 | downloading | scanning | none
[4807/7000 5.88%] Fetching | 200 | downloading | scanning | none
[4808/7000 5.92%] Fetching | 200 | downloading | scanning | none
[4809/7000 5.97%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4810/7000 6.01%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4811/7000 6.05%] Fetching | 200 | downloading | scanning | none
[4812/7000 6.09%] Fetching | 200 | downloading | scanning | none
[4813/7000 6.14%] Fetching | 200 | downloading | scanning | none
[4814/7000 6.18%] Fetching | 200 | downloading | scanning | none
[4815/7000 6.22%] Fetching | 200 | downloading | scanning | none
[4816/7000 6.27%] Fetching | 200 | downloading | scanning | none
[4817/7000 6.31%] Fetching | 404 | skipping
[4818/7000 6.35%] Fetching | 200 | downloading | scanning | none
[4819/7000 6.39%] Fetching | 200 | downloading | scanning | none
[4820/7000 6.44%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4821/7000 6.48%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4822/7000 6.52%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4823/7000 6.57%] Fetching | 200 | downloading | scanning | none
[4824/7000 6.61%] Fetching | 200 | downloading | scanning | none
[4825/7000 6.65%] Fetching | 200 | downloading | scanning | none
[4826/7000 6.70%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4827/7000 6.74%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4828/7000 6.78%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4829/7000 6.82%] Fetching | 404 | skipping
[4830/7000 6.87%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4831/7000 6.91%] Fetching | 200 | downloading | scanning | none
[4832/7000 6.95%] Fetching | 200 | downloading | scanning | none
[4833/7000 7.00%] Fetching | 200 | downloading | scanning | none
[4834/7000 7.04%] Fetching | 200 | downloading | scanning | none
[4835/7000 7.08%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4836/7000 7.12%] Fetching | 200 | downloading | scanning | none
[4837/7000 7.17%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4838/7000 7.21%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4839/7000 7.25%] Fetching | 200 | downloading | scanning | none
[4840/7000 7.30%] Fetching | 200 | downloading | scanning | none
[4841/7000 7.34%] Fetching | 200 | downloading | scanning | none
[4842/7000 7.38%] Fetching | 200 | downloading | scanning | none
[4843/7000 7.42%] Fetching | 200 | downloading | scanning | none
[4844/7000 7.47%] Fetching | 200 | downloading | scanning | none
[4845/7000 7.51%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4846/7000 7.55%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4847/7000 7.60%] Fetching | 200 | downloading | scanning | none
